opening_name,line_count,eco_values,representative_pgn,representative_uci,raw_tactical_density,raw_quiet_position_density,raw_king_safety_risk,raw_early_castling_tendency,raw_opposite_side_castling_tendency,raw_middlegame_complexity,raw_pawn_structure_sharpness,raw_material_imbalance,raw_endgame_likelihood_proxy,raw_white_tactical_density,raw_white_quiet_position_density,raw_white_king_safety_risk,raw_white_early_castling_tendency,raw_white_opposite_side_castling_tendency,raw_white_middlegame_complexity,raw_white_pawn_structure_sharpness,raw_white_material_imbalance,raw_white_endgame_likelihood_proxy,raw_black_tactical_density,raw_black_quiet_position_density,raw_black_king_safety_risk,raw_black_early_castling_tendency,raw_black_opposite_side_castling_tendency,raw_black_middlegame_complexity,raw_black_pawn_structure_sharpness,raw_black_material_imbalance,raw_black_endgame_likelihood_proxy,tactical_density,quiet_position_density,king_safety_risk,early_castling_tendency,opposite_side_castling_tendency,middlegame_complexity,pawn_structure_sharpness,material_imbalance,endgame_likelihood_proxy,white_tactical_density,white_quiet_position_density,white_king_safety_risk,white_early_castling_tendency,white_opposite_side_castling_tendency,white_middlegame_complexity,white_pawn_structure_sharpness,white_material_imbalance,white_endgame_likelihood_proxy,black_tactical_density,black_quiet_position_density,black_king_safety_risk,black_early_castling_tendency,black_opposite_side_castling_tendency,black_middlegame_complexity,black_pawn_structure_sharpness,black_material_imbalance,black_endgame_likelihood_proxy,raw_final_structure_entropy,final_structure_entropy,raw_structure_diversity,structure_diversity,structure_distribution
Benko Gambit Declined,5,A57,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Bg5,d2d4 g8f6 c2c4 c7c5 d4d5 b7b5 c1g5,0.448818,0.800692,0.029,0.485333,0.150333,0.425478,0.05,0.02625,0.557301,0.236775,0.887711,0.029,0.450667,0.150333,0.425478,0.0375,0.05,0.580503,0.350109,0.741979,0.023,0.52,0.150333,0.425478,0.0375,0.05,0.561936,0.972789,0.020408,0.578231,0.571429,0.62585,0.897959,0.251701,0.629252,0.176871,0.836735,0.115646,0.62585,0.428571,0.62585,0.897959,0.255102,0.622449,0.217687,0.986395,0.006803,0.180272,0.768707,0.62585,0.897959,0.258503,0.622449,0.156463,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":5}"
Benoni Defense,5,A40;A43,1. d4 e6 2. c4 c5 3. d5 exd5 4. cxd5 d6 5. Nc3 g6 6. e4 Bg7 7. Nf3 Ne7,d2d4 e7e6 c2c4 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 e2e4 f8g7 g1f3 g8e7,0.119697,0.993341,0.06,0.4285,0.0,0.355084,0.23125,0.035,0.599741,0.119865,0.996835,0.06,0.4135,0.0,0.355084,0.25,0.1,0.617314,0.119891,0.990324,0.045,0.4435,0.0,0.355084,0.15,0.1,0.599165,0.55102,0.826531,0.92517,0.197279,0.204082,0.251701,0.659864,0.785714,0.414966,0.62585,0.938776,0.942177,0.027211,0.204082,0.251701,0.731293,0.785714,0.891156,0.632653,0.588435,0.945578,0.353741,0.204082,0.251701,0.602041,0.785714,0.340136,0.655459,0.655459,0.655459,0.655459,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2,""0|0|0|0|0|0|2|2|0|1|1|0|1"":1,""0|0|1|0|0|0|2|2|0|1|1|0|0"":2}"
Bird Opening,5,A02,1. f4 Nf6 2. Nf3 g6 3. b4,f2f4 g8f6 g1f3 g7g6 b2b4,0.199364,0.995065,0.029,0.444167,0.2145,0.338096,0.05,0.02625,0.616361,0.12295,0.996104,0.029,0.446333,0.2145,0.338096,0.0375,0.05,0.616514,0.16795,0.996104,0.029,0.442,0.2145,0.338096,0.0375,0.05,0.616514,0.687075,0.891156,0.578231,0.29932,0.748299,0.115646,0.251701,0.629252,0.823129,0.646259,0.897959,0.62585,0.401361,0.748299,0.115646,0.255102,0.622449,0.761905,0.741497,0.904762,0.690476,0.323129,0.748299,0.115646,0.258503,0.622449,0.782313,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":4,""0|0|0|0|0|0|1|1|0|0|0|0|1"":1}"
Bishop's Opening,5,C23,1. e4 e5 2. Bc4 b5 3. Bxb5 c6,e2e4 e7e5 f1c4 b7b5 c4b5 c7c6,0.15097,0.984125,0.029,0.481,0.143,0.376231,0.3,0.02625,0.603365,0.168879,0.987966,0.023,0.52,0.143,0.376231,0.2875,0.05,0.585939,0.015545,0.987966,0.029,0.442,0.143,0.376231,0.2875,0.05,0.604207,0.659864,0.42517,0.578231,0.544218,0.591837,0.52381,0.87415,0.629252,0.482993,0.734694,0.445578,0.176871,0.755102,0.591837,0.52381,0.87415,0.622449,0.238095,0.319728,0.438776,0.690476,0.323129,0.591837,0.52381,0.863946,0.622449,0.469388,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":4,""0|1|0|0|0|0|1|2|0|0|1|0|1"":1}"
Blackmar-Diemer Gambit,5,D00,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6,0.120424,0.989672,0.029,0.455,0.154,0.387787,0.23125,0.035,0.533094,0.179699,0.990475,0.029,0.468,0.154,0.387787,0.15,0.1,0.53076,0.042497,0.990475,0.029,0.442,0.154,0.387787,0.25,0.1,0.545583,0.564626,0.717687,0.578231,0.346939,0.642857,0.632653,0.659864,0.785714,0.115646,0.768707,0.64966,0.62585,0.486395,0.642857,0.632653,0.605442,0.785714,0.081633,0.408163,0.608844,0.690476,0.323129,0.642857,0.632653,0.727891,0.785714,0.122449,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":1,""0|0|0|1|0|0|2|2|0|1|1|0|0"":4}"
Blackmar-Diemer Gambit Accepted,5,D00,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3 5. Nxf3 g6 6. Bc4 Bg7 7. O-O O-O 8. Kh1,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 g7g6 f1c4 f8g7 e1g1 e8g8 g1h1,0.264727,0.887253,0.025,0.6355,0.165,0.42152,0.2625,0.1225,0.48815,0.262184,0.841455,0.025,0.616,0.165,0.42152,0.225,0.3,0.486668,0.171475,0.952672,0.023,0.655,0.165,0.42152,0.2125,0.3,0.509698,0.748299,0.129252,0.183673,0.952381,0.670068,0.884354,0.751701,0.969388,0.027211,0.863946,0.068027,0.302721,0.928571,0.670068,0.884354,0.704082,0.989796,0.020408,0.755102,0.210884,0.180272,0.962585,0.670068,0.884354,0.670068,0.989796,0.034014,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|2|2|0|2|1|0|0"":4,""0|0|0|1|0|0|2|2|0|2|1|0|0"":1}"
Blackmar-Diemer Gambit Declined,5,D00,1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 c5,d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 c7c5,0.371242,0.818295,0.025,0.50375,0.4125,0.453158,0.275,0.06125,0.491768,0.274129,0.810697,0.025,0.4875,0.4125,0.453158,0.15,0.15,0.502699,0.227121,0.906729,0.023,0.52,0.4125,0.453158,0.3125,0.15,0.51512,0.911565,0.061224,0.183673,0.714286,0.972789,0.959184,0.761905,0.891156,0.034014,0.891156,0.040816,0.302721,0.615646,0.972789,0.959184,0.605442,0.897959,0.034014,0.843537,0.129252,0.180272,0.768707,0.972789,0.959184,0.986395,0.897959,0.040816,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|1|0|0|2|2|0|1|1|0|0"":4,""0|0|0|1|0|1|2|2|0|1|1|0|0"":1}"
Blumenfeld Countergambit,3,E10,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5 5. Bg5 exd5 6. cxd5 h6,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 c1g5 e6d5 c4d5 h7h6,0.392841,0.851398,0.023,0.52,0.0,0.447414,0.11875,0.030625,0.560531,0.198804,0.944503,0.023,0.52,0.0,0.447414,0.09375,0.075,0.590278,0.32672,0.804146,0.023,0.52,0.0,0.447414,0.09375,0.075,0.568992,0.918367,0.088435,0.081633,0.789116,0.204082,0.945578,0.537415,0.72449,0.197279,0.789116,0.163265,0.176871,0.755102,0.204082,0.945578,0.530612,0.717687,0.272109,0.965986,0.020408,0.180272,0.768707,0.204082,0.945578,0.534014,0.717687,0.163265,0.57938,0.57938,0.57938,0.57938,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2,""0|0|0|0|0|0|2|2|0|1|1|0|0"":1}"
Blumenfeld Countergambit Accepted,1,E10,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5 5. dxe6 fxe6 6. cxb5 d5,d2d4 g8f6 c2c4 e7e6 g1f3 c7c5 d4d5 b7b5 d5e6 f7e6 c4b5 d7d5,0.458,0.901216,0.025667,0.498333,0.0,0.467263,0.325,0.06125,0.425016,0.30792,0.946636,0.023,0.52,0.0,0.467263,0.2625,0.15,0.45093,0.35292,0.847203,0.025667,0.476667,0.0,0.467263,0.3,0.15,0.44288,0.979592,0.136054,0.22449,0.670068,0.204082,0.965986,0.986395,0.891156,0.006803,0.918367,0.170068,0.176871,0.755102,0.204082,0.965986,0.761905,0.897959,0.006803,1.0,0.088435,0.408163,0.517007,0.204082,0.965986,0.972789,0.897959,0.0,0.0,0.0,0.0,0.0,"{""0|1|1|0|0|0|2|3|0|2|2|0|0"":1}"
Bogo-Indian Defense,5,E11,1. d4 Nf6 2. c4 e6 3. Nf3 b6 4. g3 Bb7 5. Bg2 Bb4+ 6. Bd2 Bxd2+ 7. Qxd2 O-O 8. Nc3 Ne4 9. Qc2 Nxc3 10. Ng5,d2d4 g8f6 c2c4 e7e6 g1f3 b7b6 g2g3 c8b7 f1g2 f8b4 c1d2 b4d2 d1d2 e8g8 b1c3 f6e4 d2c2 e4c3 f3g5,0.334091,0.816494,0.169,0.58825,0.0,0.419547,0.05,0.357625,0.575565,0.160541,0.968274,0.169,0.4825,0.0,0.419547,0.0375,0.3425,0.604644,0.277921,0.810474,0.017,0.694,0.0,0.419547,0.0375,0.3425,0.58837,0.857143,0.054422,0.965986,0.92517,0.204082,0.870748,0.251701,1.0,0.231293,0.70068,0.244898,0.982993,0.591837,0.204082,0.870748,0.255102,1.0,0.482993,0.938776,0.040816,0.020408,0.972789,0.204082,0.870748,0.258503,1.0,0.238095,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":5}"
Bongcloud Attack,1,C20,1. e4 e5 2. Ke2,e2e4 e7e5 e1e2,0.011455,0.984939,0.17,0.21125,0.0,0.328114,0.3,0.0,0.578056,0.004904,0.988864,0.17,0.0,0.0,0.328114,0.2875,0.0,0.579169,0.004904,0.988864,0.029,0.4225,0.0,0.328114,0.2875,0.0,0.600319,0.231293,0.493197,0.979592,0.003401,0.204082,0.020408,0.87415,0.231293,0.251701,0.217687,0.530612,0.996599,0.0,0.204082,0.020408,0.87415,0.231293,0.204082,0.217687,0.513605,0.690476,0.132653,0.204082,0.020408,0.863946,0.231293,0.360544,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":1}"
Borg Defense,5,A40;B00,1. e4 g5 2. d4 h6 3. h4 g4,e2e4 g7g5 d2d4 h7h6 h2h4 g5g4,0.137576,0.985752,0.029,0.427917,0.2145,0.370108,0.05,0.02625,0.6028,0.01639,0.989763,0.029,0.4225,0.2145,0.370108,0.0375,0.05,0.615234,0.093056,0.989763,0.029,0.433333,0.2145,0.370108,0.0375,0.05,0.601667,0.639456,0.537415,0.578231,0.183673,0.748299,0.421769,0.251701,0.629252,0.462585,0.353741,0.598639,0.62585,0.146259,0.748299,0.421769,0.255102,0.622449,0.646259,0.57483,0.557823,0.690476,0.261905,0.748299,0.421769,0.258503,0.622449,0.387755,0.310918,0.310918,0.310918,0.310918,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":4,""0|0|0|0|0|0|1|1|0|0|0|0|1"":1}"
Canard Opening,1,A45,1. d4 Nf6 2. f4,d2d4 g8f6 f2f4,0.002727,0.994764,0.029,0.47125,0.3575,0.343752,0.05,0.0,0.617142,0.002658,0.995485,0.029,0.4225,0.3575,0.343752,0.0375,0.0,0.617154,0.002658,0.995485,0.023,0.52,0.3575,0.343752,0.0375,0.0,0.618054,0.027211,0.877551,0.578231,0.489796,0.880952,0.163265,0.251701,0.231293,0.931973,0.095238,0.891156,0.62585,0.146259,0.880952,0.163265,0.255102,0.231293,0.870748,0.07483,0.884354,0.180272,0.768707,0.880952,0.163265,0.258503,0.231293,0.938776,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1}"
Caro-Kann Defense,5,B10,1. e4 c6 2. Nc3 d5,e2e4 c7c6 b1c3 d7d5,0.009955,0.987379,0.029,0.4355,0.143,0.344018,0.05,0.0,0.615655,0.003154,0.99156,0.029,0.4485,0.143,0.344018,0.0375,0.0,0.61642,0.003154,0.99156,0.029,0.4225,0.143,0.344018,0.0375,0.0,0.616367,0.210884,0.629252,0.578231,0.265306,0.591837,0.170068,0.251701,0.231293,0.761905,0.163265,0.717687,0.62585,0.414966,0.591837,0.170068,0.255102,0.231293,0.741497,0.14966,0.697279,0.690476,0.132653,0.591837,0.170068,0.258503,0.231293,0.768707,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":5}"
Carr Defense,2,B00,1. e4 h6 2. d4 e5,e2e4 h7h6 d2d4 e7e5,0.006,0.98832,0.029,0.4225,0.0,0.35825,0.2375,0.019688,0.612518,0.007242,0.992078,0.029,0.4225,0.0,0.35825,0.225,0.0375,0.612708,0.002614,0.992078,0.029,0.4225,0.0,0.35825,0.225,0.0375,0.61297,0.12585,0.673469,0.578231,0.091837,0.204082,0.285714,0.710884,0.517007,0.598639,0.258503,0.748299,0.62585,0.146259,0.204082,0.285714,0.704082,0.517007,0.544218,0.057823,0.734694,0.690476,0.132653,0.204082,0.285714,0.687075,0.517007,0.564626,1.0,1.0,1.0,1.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":1,""0|0|0|0|0|0|1|1|0|0|0|0|1"":1}"
Catalan Opening,5,E00;E01;E02,1. d4 Nf6 2. c4 e6 3. g3 d5 4. Bg2 dxc4,d2d4 g8f6 c2c4 e7e6 g2g3 d7d5 f1g2 d5c4,0.327606,0.810702,0.029,0.49075,0.0,0.433208,0.3,0.02625,0.569744,0.312947,0.865784,0.029,0.4615,0.0,0.433208,0.2875,0.05,0.587163,0.235717,0.829587,0.023,0.52,0.0,0.433208,0.2875,0.05,0.583411,0.843537,0.034014,0.578231,0.612245,0.204082,0.918367,0.87415,0.629252,0.210884,0.92517,0.095238,0.62585,0.465986,0.204082,0.918367,0.87415,0.622449,0.251701,0.863946,0.054422,0.180272,0.768707,0.204082,0.918367,0.863946,0.622449,0.217687,0.655459,0.655459,0.655459,0.655459,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2,""0|0|0|0|0|0|1|1|0|0|0|0|1"":2,""0|0|0|1|0|0|2|2|0|1|1|0|0"":1}"
Center Game,5,C20;C21,1. e4 e5 2. d4 exd4 3. f4 Bc5 4. Nf3 Nc6 5. c3,e2e4 e7e5 d2d4 e5d4 f2f4 f8c5 g1f3 b8c6 c2c3,0.155515,0.981295,0.029,0.453917,0.143,0.386354,0.25,0.06125,0.541278,0.040588,0.986252,0.029,0.465833,0.143,0.386354,0.2125,0.15,0.54461,0.183883,0.986252,0.029,0.442,0.143,0.386354,0.25,0.15,0.531638,0.666667,0.340136,0.578231,0.326531,0.591837,0.605442,0.734694,0.891156,0.142857,0.414966,0.363946,0.62585,0.47619,0.591837,0.605442,0.680272,0.897959,0.108844,0.782313,0.346939,0.690476,0.323129,0.591837,0.605442,0.727891,0.897959,0.095238,0.590436,0.590436,0.590436,0.590436,"{""0|0|0|0|0|0|1|1|0|0|0|0|1"":1,""0|0|0|0|0|0|2|2|0|1|1|0|0"":1,""0|0|0|1|0|0|2|2|0|1|1|0|0"":3}"
Center Game Accepted,1,C21,1. e4 e5 2. d4 exd4,e2e4 e7e5 d2d4 e5d4,0.107152,0.984125,0.029,0.4225,0.0,0.385663,0.23125,0.035,0.528111,0.008301,0.987966,0.029,0.4225,0.0,0.385663,0.15,0.1,0.544916,0.181635,0.987966,0.029,0.4225,0.0,0.385663,0.25,0.1,0.515449,0.496599,0.42517,0.578231,0.091837,0.204082,0.591837,0.659864,0.785714,0.081633,0.292517,0.445578,0.62585,0.146259,0.204082,0.591837,0.605442,0.785714,0.115646,0.77551,0.438776,0.690476,0.132653,0.204082,0.591837,0.727891,0.785714,0.054422,0.0,0.0,0.0,0.0,"{""0|0|0|1|0|0|2|2|0|1|1|0|0"":1}"
Clemenz Opening,2,A00,1. h3 h5 2. g4,h2h3 h7h5 g2g4,0.049943,0.983603,0.029,0.4225,0.0,0.329778,0.05,0.019688,0.613355,0.031094,0.988318,0.029,0.4225,0.0,0.329778,0.0375,0.0375,0.614767,0.031094,0.988318,0.029,0.4225,0.0,0.329778,0.0375,0.0375,0.614767,0.346939,0.394558,0.578231,0.091837,0.204082,0.034014,0.251701,0.517007,0.632653,0.408163,0.47619,0.62585,0.146259,0.204082,0.034014,0.255102,0.517007,0.598639,0.37415,0.469388,0.690476,0.132653,0.204082,0.034014,0.258503,0.517007,0.632653,0.0,0.0,0.0,0.0,"{""0|0|0|0|0|0|1|1|0|0|0|0|0"":2}"
